Movimientos y coordinación temprana,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,8%,8%,9%,10%,10%,11%,12%,12%,13%,14%,14%,15%,16%,16%,17%,17%,18%,19%,19%,20%,21%,21%,22%,23%,23%,24%,25%,25%,26%,26%,27%,28%,28%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,30%,30%,31%,31%,32%,33%,33%,34%,35%,35%,36%,37%,37%,38%,39%,39%,40%,40%,41%,42%,42%,44%,49%,54%,59%,65%,70%,75%,80%,85%,90%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
1,14%,14%,14%,14%,14%,14%,14%,14%,14%,15%,17%,18%,20%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,22%,23%,25%,26%,28%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,31%,32%,34%,35%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,38%,39%,41%,42%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,45%,53%,60%,68%,75%,81%,85%,90%,94%,99%,100%,100%,100%,100%,100%
2,21%,21%,21%,21%,21%,21%,21%,21%,21%,23%,25%,27%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,30%,32%,35%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,36%,38%,40%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,43%,46%,48%,50%,50%,50%,50%,52%,55%,57%,59%,61%,64%,66%,68%,71%,71%,71%,71%,76%,85%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
3,20%,25%,29%,32%,35%,36%,36%,36%,36%,36%,36%,39%,42%,43%,43%,43%,43%,43%,43%,46%,48%,50%,50%,50%,50%,50%,50%,53%,55%,57%,57%,57%,57%,57%,57%,57%,57%,58%,60%,63%,64%,64%,64%,64%,64%,64%,64%,64%,65%,68%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,74%,76%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,82%,85%,86%,86%,86%,86%,86%,86%,86%,86%,87%,90%,92%,93%,93%,93%,93%,93%,94%,97%,99%,100%,100%,100%
4,43%,43%,46%,50%,50%,50%,50%,50%,56%,63%,64%,64%,64%,64%,64%,64%,64%,64%,64%,64%,66%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,73%,76%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,82%,86%,86%,86%,86%,86%,86%,86%,86%,86%,88%,92%,93%,93%,93%,93%,93%,93%,93%,93%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
5,57%,57%,59%,62%,64%,64%,64%,66%,69%,71%,71%,71%,71%,71%,73%,75%,78%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,82%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,89%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
6,49%,55%,57%,57%,58%,64%,70%,71%,71%,72%,75%,78%,79%,79%,79%,79%,79%,79%,79%,80%,83%,86%,86%,86%,86%,86%,86%,86%,86%,88%,91%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
7,67%,76%,81%,84%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,91%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
8,71%,71%,74%,77%,79%,79%,79%,82%,85%,88%,91%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
