Sensory Development,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
0,27%,28%,30%,31%,33%,34%,36%,37%,39%,40%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,43%,44%,46%,47%,49%,50%,52%,53%,55%,56%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,59%,60%,60%,61%,62%,63%,63%,64%,65%,66%,66%,67%,68%,69%,69%,70%,71%,72%,72%,73%,74%,0%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,76%,77%,77%,78%,79%,80%,80%,81%,82%,83%,83%
1,33%,33%,33%,33%,34%,36%,37%,39%,41%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,43%,45%,47%,49%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,52%,54%,56%,57%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,59%,60%,62%,64%,66%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,68%,70%,72%,73%,75%,77%,79%,80%,82%,83%,83%,83%,83%,83%,84%,86%,88%,90%,91%,93%,95%,97%,98%,100%
2,36%,39%,41%,42%,42%,42%,42%,42%,42%,43%,46%,49%,51%,54%,57%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,61%,64%,66%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,70%,72%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,76%,79%,81%,84%,87%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,95%,98%,100%,100%,100%,100%,100%,100%,100%
3,45%,48%,51%,54%,57%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,60%,63%,66%,67%,67%,67%,67%,67%,68%,71%,74%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,77%,80%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,87%,90%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,96%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
4,46%,50%,50%,50%,54%,58%,58%,58%,58%,58%,58%,58%,58%,58%,61%,65%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,71%,75%,75%,75%,75%,75%,75%,75%,79%,83%,83%,83%,83%,83%,83%,83%,83%,83%,87%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,96%,100%,100%,100%,100%,100%,100%,100%
5,44%,54%,58%,58%,58%,58%,58%,58%,58%,58%,58%,58%,61%,65%,67%,67%,67%,67%,67%,68%,72%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,78%,81%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,85%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,97%,100%
6,62%,65%,67%,67%,67%,67%,67%,69%,72%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,77%,80%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,86%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
7,67%,67%,67%,67%,67%,67%,67%,71%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,78%,81%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,88%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,95%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
8,44%,55%,61%,64%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,69%,73%,75%,75%,75%,75%,75%,75%,75%,75%,75%,75%,79%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,85%,89%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,94%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
